,neighbourhood,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
512,Fairview,,2,99,1.06,2,0,5
513,Downtown,150.0,30,37,0.41,8,197,4
514,Kensington-Cedar Cottage,650.0,3,0,,1,11,0
515,Dunbar Southlands,425.0,5,99,1.07,1,117,10
516,Kitsilano,,1,13,0.24,1,0,0
517,Arbutus Ridge,65.0,2,93,1.02,2,102,0
518,Kitsilano,240.0,3,14,0.73,1,8,8
519,Marpole,109.0,7,71,0.94,1,0,13
520,Fairview,,30,4,0.04,1,0,0
521,Hastings-Sunrise,,30,0,,1,0,0
522,Fairview,118.0,2,80,0.87,2,69,18
523,Downtown Eastside,,2,9,0.1,1,0,0
524,Mount Pleasant,,5,33,0.36,2,0,3
525,Fairview,151.0,2,229,2.51,1,230,35
526,Kitsilano,120.0,180,10,0.11,1,218,0
527,Riley Park,143.0,1,412,4.54,1,0,53
528,Marpole,190.0,30,75,0.81,1,191,0
529,West End,195.0,30,68,0.74,1,100,0
530,Grandview-Woodland,,30,0,,1,0,0
531,Riley Park,115.0,5,58,0.65,2,365,23
532,Marpole,,2,52,0.57,1,0,0
533,South Cambie,239.0,3,120,1.31,1,324,21
534,Marpole,114.0,30,79,0.87,3,174,4
535,Downtown Eastside,251.0,2,269,2.95,1,248,40
536,Riley Park,,4,13,0.14,1,0,0
537,Marpole,95.0,3,53,0.59,1,364,8
538,Downtown,,30,2,0.03,1,0,0
539,Fairview,,30,0,,1,0,0
540,Kensington-Cedar Cottage,,3,41,0.45,1,0,0
541,Downtown,155.0,30,25,0.29,12,281,3
542,Riley Park,199.0,30,15,0.16,7,274,3
543,Grandview-Woodland,109.0,2,25,0.27,2,89,9
544,Downtown,,30,27,0.29,1,0,0
545,Grandview-Woodland,72.0,30,124,1.38,4,140,3
546,Renfrew-Collingwood,90.0,2,306,3.39,1,0,61
547,Mount Pleasant,138.0,30,27,0.3,1,262,1
548,Downtown,199.0,2,376,4.12,1,0,65
549,Downtown,,1,4,0.04,2,0,0
550,Downtown,138.0,2,199,2.39,1,26,17
551,Arbutus Ridge,,7,2,0.02,1,0,0
552,Riley Park,150.0,4,137,1.53,4,90,19
553,Renfrew-Collingwood,36.0,30,38,0.42,3,107,5
554,Arbutus Ridge,78.0,1,352,3.86,2,266,73
555,Riley Park,549.0,2,20,0.37,1,4,19
556,Downtown Eastside,266.0,2,333,3.65,2,351,20
557,West End,99.0,30,136,1.49,1,174,5
558,Mount Pleasant,150.0,30,1,1.0,1,270,1
559,Downtown,140.0,2,58,2.63,1,125,36
560,Kensington-Cedar Cottage,145.0,30,65,0.72,1,153,6
561,Grandview-Woodland,,100,11,0.12,1,0,0
562,Downtown,129.0,3,512,5.69,1,0,36
563,Downtown Eastside,300.0,90,5,0.06,2,359,0
564,West Point Grey,493.0,2,46,1.29,1,55,32
565,Kitsilano,500.0,2,12,0.13,1,25,6
566,Downtown,280.0,1,95,1.05,1,107,16
567,Kensington-Cedar Cottage,98.0,1,129,1.44,3,316,16
568,Hastings-Sunrise,115.0,1,49,0.77,1,54,14
569,Kensington-Cedar Cottage,90.0,1,453,4.99,1,59,49
570,Downtown,115.0,30,71,0.79,3,285,7
571,Kitsilano,235.0,30,3,0.04,1,29,0
572,Downtown,121.0,90,60,0.66,3,99,1
573,Downtown,280.0,90,16,0.18,5,103,0
574,Downtown,168.0,3,4,0.04,1,0,0
575,Mount Pleasant,,30,10,0.11,1,0,0
576,Mount Pleasant,180.0,2,320,3.54,2,109,30
577,Downtown,200.0,30,18,0.21,8,219,3
578,Grandview-Woodland,82.0,2,274,3.03,1,0,44
579,Downtown,471.0,3,16,0.18,1,2,3
580,Downtown,,28,40,0.53,1,0,21
581,Mount Pleasant,171.0,3,22,0.24,1,19,6
582,Mount Pleasant,170.0,1,30,3.21,1,64,30
583,West End,176.0,30,18,0.27,2,334,1
584,Downtown,142.0,30,176,1.97,1,179,0
585,Kitsilano,,2,30,0.35,1,0,0
586,West End,217.0,180,67,0.76,2,44,0
587,Downtown,199.0,30,15,0.17,1,282,2
588,Renfrew-Collingwood,136.0,2,103,1.14,1,5,0
589,South Cambie,134.0,3,120,1.33,2,27,18
590,West End,300.0,3,53,0.59,1,177,4
591,Mount Pleasant,140.0,30,1,0.01,1,347,0
592,Hastings-Sunrise,100.0,1,60,0.67,3,269,0
593,Marpole,90.0,30,45,0.5,3,128,0
594,Dunbar Southlands,250.0,4,66,0.74,2,311,0
595,Kensington-Cedar Cottage,,90,1,0.01,1,0,0
596,Kensington-Cedar Cottage,120.0,1,138,1.54,1,353,23
597,Downtown,135.0,5,121,1.35,1,51,7
598,Downtown,120.0,30,3,0.03,1,73,0
599,Sunset,160.0,10,24,0.27,1,353,5
600,Downtown,180.0,30,16,0.18,2,131,1
601,Grandview-Woodland,56.0,3,105,1.17,4,6,2
602,Grandview-Woodland,145.0,3,245,2.73,1,1,41
603,Grandview-Woodland,54.0,2,91,1.01,4,49,11
604,Kitsilano,65.0,31,12,0.14,1,161,0
605,Downtown,200.0,90,9,0.1,1,254,3
606,Sunset,211.0,1,6,0.07,1,363,0
607,Grandview-Woodland,110.0,3,99,1.11,1,0,26
608,Kensington-Cedar Cottage,69.0,1,101,1.13,4,0,44
609,Downtown Eastside,,3,127,1.44,1,0,0
610,Downtown Eastside,110.0,3,263,2.94,1,40,27
611,Kensington-Cedar Cottage,56.0,30,81,0.91,4,253,0
612,Kensington-Cedar Cottage,61.0,1,279,3.15,3,329,43
613,Killarney,58.0,2,186,2.08,1,134,46
614,Downtown,,4,38,0.47,1,0,0
615,Sunset,125.0,1,6,0.61,1,365,6
616,Downtown,332.0,3,65,0.73,1,49,21
617,Downtown Eastside,150.0,30,91,1.03,4,262,6
618,Strathcona,,2,121,1.36,1,0,10
619,South Cambie,104.0,4,112,1.27,2,39,16
620,Kensington-Cedar Cottage,,4,12,0.15,1,0,0
621,Kensington-Cedar Cottage,166.0,30,247,2.77,1,139,27
622,Grandview-Woodland,,30,171,1.92,3,0,0
623,Mount Pleasant,115.0,4,76,0.86,1,14,12
624,Kensington-Cedar Cottage,80.0,2,420,4.74,1,45,71
625,Kitsilano,114.0,2,71,4.19,1,0,61
626,Kensington-Cedar Cottage,67.0,30,31,0.37,1,55,1
627,Kensington-Cedar Cottage,60.0,30,102,1.15,4,247,8
628,Mount Pleasant,213.0,3,126,1.43,1,273,35
629,Kensington-Cedar Cottage,55.0,30,65,0.73,4,254,0
630,West Point Grey,149.0,30,12,0.22,5,179,0
631,Riley Park,85.0,31,30,0.34,1,0,0
632,South Cambie,325.0,3,18,0.22,1,107,3
633,Downtown,106.0,30,22,0.25,1,40,3
634,Downtown,160.0,30,27,0.31,12,325,0
635,Kitsilano,300.0,2,109,1.95,1,21,17
636,Sunset,62.0,1,607,7.99,1,4,119
637,Kitsilano,190.0,1,255,2.95,1,202,52
638,Downtown,115.0,30,9,0.1,1,9,4
639,Kensington-Cedar Cottage,110.0,2,272,3.08,1,58,15
640,Downtown,310.0,30,11,0.13,1,178,0
641,Victoria-Fraserview,69.0,1,120,1.36,3,0,25
642,Victoria-Fraserview,51.0,30,100,1.13,3,291,3
643,Arbutus Ridge,875.0,28,0,,1,194,0
644,Downtown,199.0,90,6,0.07,1,89,0
645,Downtown,189.0,30,12,0.14,1,0,0
646,Kensington-Cedar Cottage,64.0,1,292,3.31,3,301,14
647,Marpole,,1,214,2.42,1,0,0
648,Hastings-Sunrise,110.0,4,271,3.09,1,82,22
649,Kitsilano,100.0,30,47,0.53,1,237,1
650,Mount Pleasant,,2,35,0.4,1,0,0
651,Downtown,256.0,3,118,1.5,1,0,25
652,Kitsilano,115.0,4,171,1.95,1,63,35
653,Grandview-Woodland,99.0,2,294,3.35,1,0,51
654,Riley Park,123.0,30,12,0.14,7,345,1
655,Renfrew-Collingwood,142.0,2,87,0.99,1,362,19
656,Downtown Eastside,150.0,30,110,1.25,4,172,2
657,Kensington-Cedar Cottage,,3,52,0.77,1,0,0
658,Kitsilano,121.0,30,6,0.08,1,104,1
659,Victoria-Fraserview,69.0,30,62,0.7,3,315,4
660,Hastings-Sunrise,65.0,7,108,1.23,2,13,1
661,Downtown,,90,4,0.05,33,0,0
662,Shaughnessy,99.0,30,56,0.67,1,0,0
663,Mount Pleasant,104.0,3,375,4.28,1,48,64
664,Mount Pleasant,,30,3,0.03,1,0,0
665,Downtown,117.0,30,34,0.39,1,177,3
666,Downtown,,2,98,1.12,1,0,0
667,South Cambie,500.0,30,14,0.16,1,304,0
668,Downtown,125.0,80,2,0.02,1,89,0
669,Downtown,90.0,30,0,,2,150,0
670,Downtown,160.0,30,17,0.2,12,311,1
671,Downtown,99.0,1,0,,1,0,0
672,Dunbar Southlands,151.0,30,63,0.76,2,345,11
673,South Cambie,293.0,1,2,1.13,1,109,2
674,Kitsilano,71.0,30,45,0.54,2,364,1
675,Renfrew-Collingwood,240.0,1,177,2.03,1,349,20
676,Downtown,499.0,30,28,0.33,1,364,0
677,Kitsilano,80.0,30,34,0.41,2,194,2
678,Downtown,141.0,1,64,0.74,5,0,0
679,Kitsilano,,3,112,1.35,1,0,8
680,Downtown,139.0,90,61,0.71,3,218,4
681,Kitsilano,269.0,30,46,0.53,1,11,3
682,Downtown,129.0,1,110,5.3,1,109,65
683,Oakridge,98.0,1,68,0.8,1,74,21
684,Downtown Eastside,140.0,2,63,1.15,1,13,15
685,Kitsilano,200.0,2,301,3.53,1,0,46
686,Downtown,,1,186,2.14,1,0,0
687,Arbutus Ridge,150.0,30,27,0.32,1,195,2
688,Dunbar Southlands,72.0,31,1,0.01,1,194,0
689,Kitsilano,248.0,1,144,1.7,1,0,21
690,South Cambie,950.0,5,78,0.9,1,149,18
691,Kitsilano,160.0,2,36,0.59,2,90,10
692,Downtown,200.0,30,16,0.21,1,134,2
693,Kitsilano,350.0,5,81,0.97,1,259,16
694,Downtown,,3,71,0.83,1,0,0
695,Downtown,,30,0,,1,0,0
696,Hastings-Sunrise,150.0,1,389,4.6,1,121,56
697,Hastings-Sunrise,99.0,2,181,2.21,1,76,31
698,West End,135.0,2,67,0.78,1,3,17
699,Sunset,89.0,1,78,0.92,2,361,5
700,Mount Pleasant,144.0,3,189,2.21,1,2,18
701,Mount Pleasant,230.0,3,8,2.0,1,33,8
702,Kensington-Cedar Cottage,95.0,30,25,0.29,2,169,0
703,Riley Park,,1,2,0.03,4,0,0
704,Downtown,350.0,30,51,0.62,1,297,5
705,Kitsilano,94.0,30,103,1.21,2,221,4
706,Mount Pleasant,153.0,2,148,1.77,1,140,27
707,Kitsilano,1200.0,2,59,0.73,1,0,0
708,Downtown,125.0,30,11,0.18,1,242,2
709,Mount Pleasant,75.0,3,118,1.43,1,24,2
710,Grandview-Woodland,,2,12,0.17,1,0,0
711,Downtown,125.0,1,494,5.8,1,18,75
712,Killarney,231.0,30,0,,1,365,0
713,West End,,2,201,2.39,1,0,8
714,South Cambie,100.0,30,148,1.82,1,22,6
715,Renfrew-Collingwood,147.0,30,13,0.2,5,265,2
716,Kitsilano,100.0,50,4,0.78,1,60,4
717,Grandview-Woodland,,4,5,0.07,1,0,0
718,Mount Pleasant,150.0,3,270,3.23,1,56,40
719,Kitsilano,649.0,5,7,0.09,1,36,0
720,Downtown Eastside,250.0,75,8,0.1,4,9,2
721,Downtown,,31,70,0.86,1,0,0
722,Victoria-Fraserview,,2,147,1.77,1,0,12
723,West Point Grey,95.0,30,26,0.31,1,12,0
724,Downtown,199.0,3,44,0.57,1,267,2
725,Downtown,105.0,1,274,3.33,1,161,45
726,Downtown,85.0,3,197,2.36,1,9,27
727,Dunbar Southlands,650.0,7,8,0.1,2,341,1
728,Downtown,184.0,1,78,7.72,1,85,78
729,Downtown,131.0,1,606,7.37,1,0,124
730,Kensington-Cedar Cottage,330.0,7,103,1.26,1,169,9
731,West End,400.0,30,1,0.22,3,323,1
732,Downtown Eastside,149.0,60,112,1.37,1,126,8
733,Downtown,69.0,2,248,3.08,2,25,45
734,Downtown,100.0,2,67,0.85,2,22,18
735,Downtown,174.0,1,491,5.92,1,320,66
736,Hastings-Sunrise,172.0,3,82,1.0,1,322,6
737,South Cambie,190.0,3,52,0.63,1,0,8
738,Kitsilano,220.0,30,60,0.72,2,14,2
739,Kensington-Cedar Cottage,,2,66,0.81,1,0,0
740,Kitsilano,151.0,3,2,1.09,1,39,2
741,West End,169.0,30,211,2.59,1,313,16
742,Marpole,60.0,1,3,0.2,1,280,0
743,Fairview,278.0,1,318,3.94,1,172,67
744,Kensington-Cedar Cottage,120.0,3,27,0.33,1,13,0
745,Sunset,150.0,31,6,0.09,1,88,0
746,Kensington-Cedar Cottage,186.0,3,106,1.34,1,165,29
747,Kitsilano,500.0,30,49,0.6,2,42,2
748,Marpole,120.0,3,34,0.43,1,0,0
749,Downtown,668.0,31,0,,1,359,0
750,Downtown Eastside,91.0,2,217,2.69,1,176,40
751,Fairview,229.0,3,62,0.82,1,141,16
752,Mount Pleasant,149.0,4,250,3.06,1,300,53
753,West End,160.0,30,62,0.76,13,327,4
754,Downtown,110.0,30,50,0.62,1,170,3
755,Hastings-Sunrise,117.0,2,203,2.48,1,148,37
756,Kensington-Cedar Cottage,140.0,30,37,0.48,1,151,3
757,Kensington-Cedar Cottage,135.0,30,38,0.49,1,167,4
758,Grandview-Woodland,,3,40,0.49,1,0,0
759,Downtown,,30,31,0.39,1,0,1
760,Downtown,429.0,1,232,2.84,3,350,40
761,West End,150.0,30,48,0.61,1,246,6
762,Mount Pleasant,147.0,2,304,3.77,1,65,57
763,Downtown,136.0,1,74,0.92,2,1,13
764,Hastings-Sunrise,,2,3,0.04,1,0,0
765,Strathcona,135.0,30,10,0.53,1,215,0
766,Downtown,145.0,30,23,0.29,12,324,6
767,West End,,2,27,0.34,1,0,0
768,Downtown,,30,90,1.11,2,0,0
769,Hastings-Sunrise,118.0,4,149,1.84,1,330,20
770,Kitsilano,150.0,28,6,0.1,1,83,0
771,Marpole,61.0,1,117,1.78,2,85,26
772,Mount Pleasant,288.0,90,96,1.21,1,338,1
773,West End,158.0,30,54,0.68,2,31,6
774,Kerrisdale,115.0,30,42,0.52,1,346,0
775,Kensington-Cedar Cottage,53.0,30,7,0.1,2,334,0
776,Kitsilano,314.0,3,48,0.73,1,104,17
777,Downtown,100.0,31,7,0.13,2,365,0
778,Grandview-Woodland,260.0,1,70,0.87,1,11,16
779,Riley Park,42.0,30,21,0.26,6,51,0
780,Hastings-Sunrise,78.0,2,204,3.1,1,253,42
781,Grandview-Woodland,,3,85,1.06,1,0,0
782,Riley Park,75.0,30,71,0.88,2,57,5
783,Downtown,,30,34,0.42,1,0,0
784,Mount Pleasant,458.0,1,161,2.02,1,191,0
785,Kitsilano,,30,47,0.59,1,0,0
786,Downtown Eastside,150.0,5,2,0.94,1,19,2
787,West Point Grey,500.0,2,189,2.39,2,291,31
788,Kitsilano,99.0,1,335,4.17,1,7,40
789,Downtown,130.0,30,8,0.1,12,104,0
790,Victoria-Fraserview,70.0,2,100,1.24,1,109,24
791,Downtown Eastside,130.0,30,15,0.19,1,363,0
792,Kensington-Cedar Cottage,87.0,2,143,1.79,2,0,26
793,Downtown,89.0,30,22,0.27,1,0,2
794,Downtown,265.0,30,12,0.15,1,334,2
795,Grandview-Woodland,77.0,30,40,0.5,4,86,6
796,Downtown,325.0,2,449,5.58,1,140,63
797,Arbutus Ridge,128.0,2,278,3.46,2,258,47
798,Kitsilano,,6,6,0.08,1,0,0
799,Downtown,,1,54,0.67,1,0,0
800,Riley Park,,1,3,0.04,4,0,0
801,South Cambie,375.0,3,53,0.68,1,360,10
802,South Cambie,,90,64,0.92,1,0,0
803,Kensington-Cedar Cottage,67.0,30,9,0.11,1,334,0
804,Riley Park,,30,17,0.22,6,0,3
805,Shaughnessy,88.0,30,36,0.45,3,274,4
806,Riley Park,126.0,5,110,1.4,1,229,19
807,Mount Pleasant,,30,27,0.34,1,0,0
808,Marpole,101.0,30,139,1.76,2,274,25
809,Kitsilano,200.0,2,62,0.78,5,279,10
810,Downtown,130.0,17,41,0.52,1,72,6
811,Kitsilano,256.0,30,61,0.77,5,225,8
812,Shaughnessy,249.0,30,67,0.85,5,180,8
813,Kitsilano,,1,46,0.58,1,0,20
814,Grandview-Woodland,,14,11,0.14,1,0,0
815,Kensington-Cedar Cottage,103.0,2,138,1.74,1,112,20
816,Downtown,146.0,30,102,1.31,1,335,2
817,Downtown Eastside,154.0,30,12,0.18,1,87,2
818,Fairview,88.0,30,58,0.73,1,128,6
819,West End,350.0,3,88,1.12,1,132,15
820,Hastings-Sunrise,128.0,30,35,0.45,2,131,3
821,Grandview-Woodland,193.0,30,5,0.07,7,364,1
822,Sunset,950.0,6,7,0.09,1,173,0
823,West End,,2,19,0.24,1,0,0
824,Kitsilano,215.0,30,7,0.13,1,173,2
825,Kensington-Cedar Cottage,161.0,2,90,1.14,1,65,10
826,Kensington-Cedar Cottage,70.0,30,38,0.48,1,316,4
827,Downtown,343.0,1,64,5.3,1,0,64
828,Riley Park,166.0,2,307,4.01,1,167,67
829,Shaughnessy,395.0,30,71,0.9,5,225,11
830,Kitsilano,,5,9,0.12,1,0,0
831,Riley Park,106.0,2,273,3.44,1,168,38
832,Kitsilano,250.0,30,57,0.72,5,124,1
833,Riley Park,100.0,31,27,0.34,1,55,0
834,Downtown,,7,3,0.04,2,0,0
835,Kitsilano,158.0,2,275,3.48,2,189,26
836,Downtown,385.0,1,108,1.38,1,356,38
837,Grandview-Woodland,225.0,3,11,0.15,1,0,0
838,Downtown,500.0,2,106,1.35,1,68,19
839,Downtown,100.0,30,33,0.42,1,179,0
840,Hastings-Sunrise,,7,125,1.61,1,0,6
841,Fairview,,1,33,0.42,1,0,0
842,Downtown,334.0,30,1,0.16,1,133,1
843,Riley Park,,3,7,0.09,1,0,0
844,Downtown,423.0,2,194,2.48,1,339,17
845,West Point Grey,,3,22,0.28,2,0,2
846,West End,,1,132,1.68,1,0,0
847,Kitsilano,51.0,30,61,0.77,1,80,5
848,Downtown,90.0,31,23,0.29,1,0,0
849,Mount Pleasant,118.0,2,9,0.12,1,0,6
850,Marpole,125.0,1,311,3.94,1,0,83
851,Kitsilano,,1,51,0.65,1,0,0
852,Fairview,271.0,5,105,1.34,1,109,15
853,Kitsilano,140.0,21,4,0.05,1,89,1
854,Downtown,190.0,3,32,3.42,1,239,32
855,West End,,30,28,0.35,1,0,0
856,Kitsilano,158.0,14,76,1.16,1,246,10
857,Downtown,115.0,30,30,0.41,2,199,4
858,Downtown,268.0,30,0,,3,226,0
859,Grandview-Woodland,,30,14,0.18,1,0,0
860,Downtown,174.0,1,105,1.33,2,97,5
861,Strathcona,232.0,2,48,0.61,1,145,9
862,Downtown,85.0,30,13,0.18,11,50,2
863,Hastings-Sunrise,90.0,30,50,0.64,2,61,7
864,Grandview-Woodland,,5,6,0.08,1,0,0
865,West Point Grey,145.0,3,176,2.57,1,60,54
866,West End,93.0,30,4,0.05,33,25,1
867,Kitsilano,,30,3,0.05,1,0,0
868,Dunbar Southlands,,2,12,0.15,1,0,0
869,Kitsilano,151.0,30,146,1.86,4,171,6
870,Sunset,48.0,100,14,0.21,4,171,3
871,Hastings-Sunrise,,2,226,2.89,1,0,24
872,Dunbar Southlands,,30,2,0.03,1,0,0
873,West End,207.0,2,20,0.26,1,4,8
874,Grandview-Woodland,,1,28,0.36,1,0,0
875,Kitsilano,299.0,5,179,2.31,4,297,30
876,West End,,3,24,0.31,1,0,0
877,Downtown,88.0,1,332,4.52,2,30,74
878,West End,122.0,30,33,0.44,2,351,6
879,Hastings-Sunrise,,3,60,0.77,3,0,0
880,Mount Pleasant,325.0,3,5,0.29,1,55,2
881,Fairview,105.0,30,13,0.17,30,359,1
882,Killarney,,7,10,0.13,1,0,0
883,Hastings-Sunrise,,3,24,0.31,1,0,0
884,Riley Park,165.0,31,3,0.04,1,0,0
885,West End,125.0,29,6,0.11,1,180,4
886,Mount Pleasant,99.0,4,20,0.26,2,22,3
887,Mount Pleasant,200.0,2,117,1.79,3,6,19
888,Hastings-Sunrise,100.0,5,131,1.75,1,114,28
889,Fairview,,2,4,0.05,1,0,0
890,Kitsilano,90.0,2,336,4.33,1,24,101
891,Kitsilano,149.0,5,67,0.86,2,4,10
892,Downtown,271.0,30,23,0.31,11,179,0
893,Kerrisdale,82.0,2,139,1.81,1,57,20
894,Downtown,185.0,1,143,1.86,1,8,0
895,Downtown Eastside,138.0,4,159,2.05,2,4,22
896,Riley Park,450.0,5,9,0.14,1,51,0
897,Oakridge,,2,8,0.1,1,0,0
898,West End,112.0,2,25,0.33,1,365,1
899,Grandview-Woodland,,4,80,1.03,1,0,0
900,Downtown,105.0,30,6,0.09,11,50,0
901,Riley Park,158.0,2,145,1.87,1,77,11
902,Riley Park,33.0,90,7,0.1,4,153,2
903,Fairview,,30,0,,1,0,0
904,Riley Park,249.0,2,232,3.0,2,57,39
905,Downtown,99.0,29,93,1.21,2,102,6
906,Mount Pleasant,,2,1,0.02,1,0,0
907,Downtown,116.0,30,24,0.32,1,78,2
908,Killarney,60.0,1,98,1.27,1,311,32
909,Kitsilano,,2,7,0.11,1,0,0
910,Renfrew-Collingwood,73.0,2,182,2.39,3,79,36
911,Renfrew-Collingwood,80.0,2,103,1.35,3,0,7
912,Grandview-Woodland,,60,2,0.04,1,0,0
913,Downtown,,365,1,0.01,1,0,0
914,South Cambie,195.0,2,49,0.64,1,155,11
915,Fairview,,1,21,0.27,1,0,0
916,Hastings-Sunrise,68.0,185,0,,2,364,0
917,Grandview-Woodland,250.0,2,39,0.57,1,197,8
918,Fairview,140.0,30,12,0.18,2,162,1
919,Riley Park,156.0,2,19,2.86,1,338,19
920,Arbutus Ridge,,3,17,0.25,1,0,0
921,Grandview-Woodland,46.0,1,0,,1,0,0
922,Downtown Eastside,263.0,7,95,1.25,1,223,20
923,Kitsilano,,3,13,0.17,1,0,0
924,Hastings-Sunrise,133.0,1,445,5.99,1,34,83
925,Renfrew-Collingwood,150.0,1,544,7.1,1,90,56
926,Renfrew-Collingwood,80.0,5,35,0.47,1,249,1
927,Downtown Eastside,105.0,30,155,2.04,2,243,4
928,West End,,30,10,0.13,1,0,0
929,Mount Pleasant,175.0,2,137,1.89,1,2,39
930,Downtown,100.0,30,26,0.34,2,365,0
931,Marpole,85.0,3,45,0.59,6,75,9
932,Marpole,80.0,3,77,1.01,6,71,13
933,Marpole,80.0,3,95,1.25,6,68,16
934,Oakridge,70.0,360,186,2.44,2,179,0
935,Downtown,520.0,2,34,0.47,6,159,7
936,West End,103.0,30,56,0.73,1,130,3
937,Downtown Eastside,122.0,1,55,0.73,1,46,12
938,Downtown,149.0,1,55,0.76,6,142,13
939,Grandview-Woodland,67.0,1,505,6.65,1,0,74
940,Downtown,119.0,2,35,0.46,6,136,10
941,Downtown,86.0,1,500,6.56,1,64,89
942,Renfrew-Collingwood,74.0,2,350,4.65,1,0,73
943,Grandview-Woodland,86.0,1,282,3.79,1,142,131
944,West Point Grey,109.0,3,136,2.42,1,0,54
945,Oakridge,60.0,360,132,1.75,2,179,0
946,Grandview-Woodland,97.0,2,231,3.04,1,0,44
947,Arbutus Ridge,,2,85,1.12,1,0,0
948,Grandview-Woodland,,3,112,1.48,1,0,0
949,Grandview-Woodland,,30,91,1.2,1,0,5
950,Downtown,150.0,31,20,0.29,1,42,5
951,Fairview,190.0,30,34,0.45,13,241,3
952,Mount Pleasant,,30,14,0.19,1,0,0
953,Downtown Eastside,,2,42,0.56,1,0,1
954,Downtown,399.0,30,82,1.09,1,123,20
955,Grandview-Woodland,,2,52,0.69,1,0,0
956,Downtown,220.0,30,6,0.1,1,90,1
957,Oakridge,138.0,1,5,0.08,1,18,0
958,Downtown,139.0,1,97,1.28,6,140,10
959,Fairview,207.0,7,14,0.19,1,148,6
960,Downtown,135.0,30,16,0.22,8,312,3
961,Fairview,100.0,30,14,0.19,30,175,1
962,Riley Park,219.0,2,47,0.88,1,64,15
963,Downtown,95.0,30,286,3.79,3,346,6
964,Downtown,130.0,30,58,0.79,3,343,5
965,Hastings-Sunrise,,3,0,,1,0,0
966,West End,100.0,30,5,0.07,1,135,0
967,Downtown,160.0,90,0,,1,365,0
968,Sunset,499.0,365,2,0.03,2,263,0
969,West End,139.0,2,269,3.64,1,338,91
970,Fairview,100.0,30,14,0.19,30,215,1
971,Grandview-Woodland,,3,3,0.04,1,0,0
972,Kitsilano,,4,16,0.24,1,0,6
973,West End,,2,17,0.23,2,0,0
974,Downtown Eastside,80.0,30,216,2.9,4,49,24
975,Kitsilano,142.0,2,307,4.19,1,174,58
976,West End,330.0,30,64,0.87,1,0,4
977,Sunset,,2,193,2.6,1,0,0
978,Riley Park,150.0,30,67,0.9,1,165,5
979,Riley Park,125.0,30,1,0.01,1,0,0
980,Renfrew-Collingwood,65.0,2,106,1.6,3,41,32
981,Sunset,98.0,30,18,0.25,1,226,2
982,Renfrew-Collingwood,,28,111,1.52,1,0,0
983,Downtown,228.0,30,120,1.65,1,253,0
984,Kitsilano,128.0,1,330,5.4,2,0,94
985,Shaughnessy,215.0,1,64,0.87,3,325,19
986,Kitsilano,,30,110,1.52,1,0,9
987,Downtown,,3,99,1.33,1,0,0
988,Kitsilano,907.0,3,41,0.63,1,111,11
989,Downtown Eastside,54.0,2,185,2.48,1,64,67
990,Fairview,115.0,30,21,0.29,30,261,2
991,Downtown,161.0,3,96,1.29,6,0,14
992,Strathcona,225.0,30,0,,2,173,0
993,Mount Pleasant,86.0,30,63,0.86,1,327,1
994,Downtown,99.0,90,3,0.05,1,88,0
995,Riley Park,177.0,3,175,2.38,1,295,27
996,Grandview-Woodland,75.0,2,392,5.34,1,341,82
997,Downtown,165.0,30,23,0.32,12,209,4
998,Oakridge,158.0,2,86,1.19,1,364,5
999,Kensington-Cedar Cottage,169.0,1,2,0.03,1,101,0
1000,Downtown,,30,3,0.05,1,0,0
1001,Downtown,,60,1,0.04,1,0,0
1002,West End,112.0,30,6,0.11,2,333,4
1003,Kensington-Cedar Cottage,80.0,2,229,3.09,1,169,26
1004,Marpole,41.0,30,0,,5,159,0
1005,Downtown,204.0,2,441,5.97,1,0,79
1006,Riley Park,,30,0,,1,0,0
1007,Hastings-Sunrise,65.0,2,92,1.29,1,0,25
1008,Kensington-Cedar Cottage,,7,13,0.18,1,0,0
1009,Renfrew-Collingwood,88.0,30,0,,1,88,0
1010,Dunbar Southlands,586.0,30,10,0.15,2,17,2
1011,Strathcona,122.0,30,27,0.38,2,242,4
1012,Downtown,301.0,2,91,1.27,1,305,12
1013,Kitsilano,95.0,1,340,4.97,4,136,83
1014,Kensington-Cedar Cottage,,1,0,,1,0,0
1015,Grandview-Woodland,129.0,5,211,2.9,1,152,28
1016,Kitsilano,80.0,30,18,0.27,2,107,1
1017,Hastings-Sunrise,,2,2,0.03,1,0,0
1018,Kitsilano,225.0,3,80,1.17,1,219,17
1019,Riley Park,161.0,1,344,4.73,1,158,50
1020,Hastings-Sunrise,100.0,3,188,2.59,1,113,34
1021,Hastings-Sunrise,79.0,2,355,4.87,1,0,46
1022,Downtown,90.0,30,0,,1,292,0
1023,Kensington-Cedar Cottage,,1,23,0.34,3,0,0
1024,Downtown,200.0,90,1,0.02,1,365,0
1025,Kerrisdale,200.0,30,16,0.3,1,179,0
1026,Fairview,100.0,30,20,0.29,30,90,2
1027,Downtown,158.0,30,18,0.27,1,241,2
1028,Downtown,,30,20,0.28,1,0,0
1029,Downtown,300.0,3,109,1.57,1,219,28
1030,Fairview,115.0,30,15,0.21,30,271,3
1031,Fairview,100.0,30,13,0.21,30,225,2
1032,Hastings-Sunrise,193.0,2,257,3.55,2,66,43
1033,Downtown Eastside,40.0,30,62,0.85,2,59,7
